CD_SISTEMA;CLCLI_CD;DT;ID;VL;VALORAUX;VALORCALC;DS;MTTP_CD;DESCRICAO;IC_IRRF;DATALANC;ORIGEM;FLAGDEL;CD_SEQUENCIAL
LZ;INTRAGKINE195;27/07/2026;364204468;98.450;0;98.450;5ANCC112 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204467;5.109.849;0;5.109.849;5ANCC112 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204470;9.480;0;9.480;5ANCC113 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204469;519.450;0;519.450;5ANCC113 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204472;964.850;0;964.850;5ANCC115 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204471;490.850;0;490.850;5ANCC115 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204474;5.096.150;0;5.096.150;5ANCC221 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204473;596.798;0;596.798;5ANCC221 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204476;165.195;0;165.195;5ANCC231 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204475;1;0;1;5ANCC231 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204478;859;0;859;5MTII122 - PAGAMENTO DE AMORTIZACAO PERIODICA;965;Amortizacao de Principal Brady Bonds - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364204477;6.196;0;6.196;5MTII122 - PAGAMENTO DE RENDIMENTOS;262;Rendimentos - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364203492;5.989.074;0;5.989.074;Compra de Titulo RF [CRAPF VERT SEC] Op: F736512 Mv: 20569849;81;Compra de TRF;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364115067;6.500;0;6.500;Fatura Bolsa BM&F [ITAUCOR];100;Fatura da BM&F;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364192905;250;0;250;PAGAMENTO DE PRÊMIO [DEBNC] - MOVIA3;960;Pagamento de Prêmio de TRF - Manual;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364192905;8;0;8;AJUSTE DE PAGAMENTO [DEBNC] - MOVIA3;803;Acerto de TRF;;27/07/2026 00:00;MT;N;523
LZ;INTRAGKINE195;27/07/2026;364203687;24.892;0;24.892;Venda de Titulo RF [DEBNC HYPE] Op: F388911 Mv: 20570008;82;Venda de TRF;;27/07/2026 00:00;RF;N;523
LZ;INTRAGKINE195;27/07/2026;364203644;497.904.046;0;497.904.046;Venda de Titulo RF [DEBNC LM TRANS] Op: F238710 Mv: 20570005;82;Venda de TRF;;27/07/2026 00:00;RF;N;523
LZ;INTRAGKINE195;27/07/2026;364203657;5.998.094;0;5.998.094;Venda de Titulo RF [DEBNC NOVANTS] Op: E905497 Mv: 20569946;82;Venda de TRF;;27/07/2026 00:00;RF;N;523
